uuid,count,mean,std,min,max,iqr,cluster,stability_label
359404230082365,128,-103.875,9.135032506654683,-120,-67,15.0,1,unstable
359404230082373,198,-96.83838383838383,5.400144895042469,-115,-72,5.0,0,stable
359404230082407,67,-109.19402985074628,6.564917793503517,-118,-70,4.0,0,stable
359404230082423,334,-93.68862275449102,5.265222965105423,-126,-66,4.0,0,stable
359404230082449,246,-101.54878048780488,5.06001316209723,-120,-73,6.0,0,stable
359404230082456,405,-102.02716049382715,13.151695033864723,-133,-73,21.0,1,unstable
359404230082464,254,-102.04330708661418,8.21560349570289,-121,-69,12.0,1,unstable
359404230082506,387,-96.93023255813954,9.30640153503321,-115,-69,18.0,1,unstable
359404230082514,272,-96.34191176470588,7.476704832401594,-117,-77,13.0,1,unstable
359404230082522,513,-107.57504873294347,6.683608772087391,-125,-79,9.0,0,stable
359404230082530,184,-92.09782608695652,9.876350051018074,-114,-79,12.0,1,unstable
359404230082555,195,-102.32820512820513,9.59837692244551,-119,-74,17.0,1,unstable
359404230082563,269,-97.79553903345725,7.146065258744794,-110,-73,15.0,1,unstable
359404230082613,160,-106.425,4.677727233975029,-118,-70,4.0,0,stable
359404230082621,189,-109.34391534391534,4.595699598679817,-120,-91,5.0,0,stable
359404230082647,298,-106.5738255033557,7.2870153046536466,-121,-72,13.0,1,unstable
359404230082654,302,-103.44039735099338,7.692691261509823,-119,-72,15.0,1,unstable
359404230082670,183,-100.5792349726776,3.5738681393486664,-108,-80,5.0,0,stable
359404230082688,126,-104.65079365079364,7.8305222919725725,-120,-76,13.75,1,unstable
359404230082696,155,-100.95483870967742,4.866185918755523,-111,-76,8.0,0,stable
359404230082712,430,-106.63720930232559,8.529587152712454,-120,-71,16.0,1,unstable
359404230082720,326,-93.34049079754601,7.55232119620743,-116,-72,13.0,1,unstable
359404230082738,245,-92.77551020408163,3.5544090959555805,-115,-70,5.0,0,stable
359404230082753,291,-100.68041237113403,7.878228041301107,-116,-74,15.5,1,unstable
359404230082761,324,-93.68518518518519,2.8129999460096715,-106,-74,3.0,0,stable
359404230082779,290,-101.95172413793104,6.73402868614191,-122,-74,7.0,0,stable
359404230082803,344,-104.65697674418605,6.443185940253613,-121,-72,11.0,0,stable
359404230082837,88,-103.0,6.496683504044524,-113,-67,4.25,0,stable
359404230082845,366,-88.29781420765028,7.842724270070027,-101,-76,15.0,1,unstable
359404230082852,295,-103.2813559322034,7.257097735524127,-122,-71,12.0,1,unstable
359404230082860,467,-97.1713062098501,9.116119701874792,-121,-67,6.5,0,stable
359404230082894,247,-98.31983805668017,8.590440137867528,-124,-74,10.0,1,unstable
359404230082910,171,-106.47368421052632,6.1216258792556735,-125,-71,9.0,0,stable
359404230082928,253,-103.8300395256917,6.465933837834762,-130,-80,8.0,0,stable
359404230082944,91,-109.89010989010988,8.68389383917216,-117,-73,3.0,0,stable
359404230082985,103,-97.06796116504854,4.140337525130828,-112,-67,3.0,0,stable
359404230083041,222,-105.36936936936937,5.539537736448519,-117,-70,8.75,0,stable
359404230123888,146,-113.46575342465754,7.615016366103401,-131,-70,10.0,0,stable
359404230123987,20,-96.05,5.0832542415474835,-109,-91,5.25,0,stable
359404230124001,25,-99.84,5.459548210856526,-108,-90,10.0,0,stable
359404230124027,111,-86.18018018018019,2.841888610823951,-90,-67,3.0,0,stable
359404230124043,125,-85.976,3.2514612099792912,-93,-72,1.0,0,stable
359404230124134,53,-84.60377358490567,15.701959239144342,-118,-63,25.0,1,unstable
359404230124233,88,-110.70454545454545,6.826518762275777,-132,-68,1.0,0,stable
359404230124290,34,-99.88235294117646,15.008613094592487,-133,-69,16.5,1,unstable
359404230124308,27,-103.48148148148148,5.18407599043878,-113,-93,7.0,0,stable
359404230124332,91,-92.38461538461539,5.5633108263359885,-114,-75,8.5,0,stable
359404230124340,30,-91.1,13.036685637607166,-130,-67,17.0,1,unstable
359404230124415,33,-93.48484848484848,2.320037878478659,-97,-87,1.0,0,stable
359404230124456,29,-82.96551724137932,10.407698931288081,-110,-68,16.0,1,unstable
359404230124464,73,-82.31506849315069,10.515698202012041,-102,-65,20.0,1,unstable
359404230124472,59,-113.52542372881356,10.820408450770058,-136,-72,11.0,1,unstable
359404230124498,28,-102.25,5.647844557718296,-122,-95,6.5,0,stable
359404230124506,191,-99.46073298429319,4.280589911007844,-118,-83,5.0,0,stable
359404230124589,24,-106.58333333333333,4.392846622553006,-115,-98,5.5,0,stable
359404230124662,221,-103.0,4.756813295397745,-117,-75,5.0,0,stable
359404230124712,29,-62.58620689655172,7.389747924268896,-83,-54,4.0,0,stable
359404230124720,147,-89.93197278911565,5.959520832013237,-102,-74,8.5,0,stable
359404230124795,50,-120.42,11.257813613083979,-137,-74,14.75,1,unstable
359404230124811,54,-97.62962962962963,2.8635398089770083,-104,-93,4.0,0,stable
359746167128136,2620,-94.30496183206107,5.691956755396229,-133,-63,4.0,0,stable
