uuid,count,mean,std,min,max,median,iqr
359404230083041,222,8289.788288288288,35030.162243818944,5,449675,28.0,1187.75
359404230123888,146,13628.020547945205,21291.57024690488,11,107033,2825.0,24582.75
359404230123912,1,230.0,,230,230,230.0,0.0
359404230123953,13,400273.3846153846,519436.47001863766,9,1284637,163577.0,346795.0
359404230123987,20,163632.95,263751.8710310238,15,803850,40134.5,150868.0
359404230124001,25,26731.48,50863.960927753156,8,166333,221.0,15431.0
359404230124027,111,19038.306306306305,70621.64117628956,5,642367,27.0,2028.5
359404230124043,125,11358.744,29019.344951563024,7,178119,32.0,2013.0
359404230124134,53,46142.71698113208,99491.6138331764,9,502008,252.0,39944.0
359404230124167,19,49609.63157894737,58534.62861912551,17,137476,10663.0,117182.5
359404230124217,2,1472.0,1749.3821766555186,235,2709,1472.0,1237.0
359404230124233,88,31649.409090909092,101309.35236645813,15,531531,261.0,4433.75
359404230124290,34,56530.970588235294,196086.23339026363,8,860667,227.0,1955.25
359404230124308,27,248525.33333333334,476624.50868186663,16,1405085,2263.0,163793.0
359404230124316,5,8937.0,18554.11531170376,12,42084,246.0,2237.0
359404230124332,91,160598.43956043955,209711.21885351493,9,871748,75351.0,230339.5
359404230124340,30,26076.566666666666,75433.83015079866,6,249101,30.5,369.0
359404230124415,33,42595.63636363636,36938.45173631586,16,122901,43047.0,41234.0
359404230124456,29,7810.310344827586,29566.83449057581,11,137953,26.0,17.0
359404230124464,73,55916.31506849315,101853.74590379809,8,625603,271.0,78362.0
359404230124472,59,83293.83050847458,158005.51123475723,20,512338,1046.0,42706.0
359404230124498,28,238111.07142857142,384344.1891334659,27,1221607,46012.0,228042.5
359404230124506,191,3894.3821989528797,15760.142951044758,5,120869,26.0,16.0
359404230124522,10,2478.5,4107.527811497108,10,13155,229.5,3399.75
359404230124530,4,73.25,105.81863414981945,10,231,26.0,71.75
359404230124563,6,89.83333333333333,114.95288890091743,9,249,22.5,167.25
359404230124589,24,2588.6666666666665,2655.2301573320906,16,7351,1528.0,4620.5
359404230124597,4,71.25,107.34795449068108,11,232,21.0,62.75
359404230124662,221,3077.873303167421,11154.118569644717,5,77819,25.0,19.0
359404230124688,12,121813.25,178701.0014262651,6,550380,134.0,218441.5
359404230124712,29,1052.2068965517242,2660.758409327664,7,10937,22.0,20.0
359404230124720,147,120789.25170068027,176903.5859909287,7,941050,26055.0,188952.5
359404230124746,1,224.0,,224,224,224.0,0.0
359404230124795,50,9134.44,15314.962132129855,11,72639,1096.0,14353.25
359404230124811,54,220330.11111111112,311975.69706960017,6,1029449,47803.5,426631.0
359404230124852,8,11730.125,13628.405099408054,228,36386,6997.0,19820.25
359746167128136,2620,480721910.61412215,433514814.84523374,5365,1358047831,329149388.5,771087809.0
